"gene_id","gene_symbol","term_id","term_name","domain"
"YBR223C","TDP1","sce03410","Base excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER142C","MAG1","sce03410","Base excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YKL114C","APN1","sce03410","Base excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YML021C","UNG1","sce03410","Base excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YML060W","OGG1","sce03410","Base excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOL043C","NTG2","sce03410","Base excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOR258W","HNT3","sce03410","Base excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOR330C","MIP1","sce03410","Base excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOR330C","MIP1","sce04139","Mitophagy - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR030C","RAD28","sce04120","Ubiquitin mediated proteolysis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR030C","RAD28","sce03420","Nucleotide excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YEL037C","RAD23","sce04141","Protein processing in endoplasmic reticulum - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YEL037C","RAD23","sce03420","Nucleotide excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER162C","RAD4","sce03420","Nucleotide excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR258C","RAD2","sce03420","Nucleotide excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YJL092W","SRS2","sce03430","Mismatch repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YJL092W","SRS2","sce03420","Nucleotide excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YJR035W","RAD26","sce03420","Nucleotide excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YML095C","RAD10","sce03420","Nucleotide excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YML095C","RAD10","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YMR201C","RAD14","sce03420","Nucleotide excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOL133W","HRT1","sce04120","Ubiquitin mediated proteolysis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOL133W","HRT1","sce03420","Nucleotide excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOL133W","HRT1","sce04141","Protein processing in endoplasmic reticulum - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOL133W","HRT1","sce04111","Cell cycle - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YPL022W","RAD1","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YPL022W","RAD1","sce03420","Nucleotide excision repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR092C","MSH3","sce03430","Mismatch repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR097C","MSH6","sce03430","Mismatch repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YMR167W","MLH1","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YMR167W","MLH1","sce03430","Mismatch repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YNL082W","PMS1","sce03430","Mismatch repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YNL082W","PMS1","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOL090W","MSH2","sce03430","Mismatch repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOR033C","EXO1","sce03430","Mismatch repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YPL164C","MLH3","sce03430","Mismatch repair - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBL088C","TEL1","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR073W","RDH54","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR098W","MMS4","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR098W","MMS4","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDL059C","RAD59","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR004W","RAD57","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR076W","RAD55","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR369C","XRS2","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR369C","XRS2","sce03450","Non-homologous end-joining - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR386W","MUS81","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR386W","MUS81","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER095W","RAD51","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER095W","RAD51","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGL163C","RAD54","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YLR234W","TOP3","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YLR234W","TOP3","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YML032C","RAD52","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YMR190C","SGS1","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YMR190C","SGS1","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YMR224C","MRE11","sce03450","Non-homologous end-joining - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YMR224C","MRE11","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YNL250W","RAD50","sce03450","Non-homologous end-joining - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YNL250W","RAD50","sce03440","Homologous recombination - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR014C","POL4","sce03450","Non-homologous end-joining - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGL090W","LIF1","sce03450","Non-homologous end-joining - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YLR265C","NEJ1","sce03450","Non-homologous end-joining - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YMR106C","YKU80","sce03450","Non-homologous end-joining - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YMR284W","YKU70","sce03450","Non-homologous end-joining - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOR005C","DNL4","sce03450","Non-homologous end-joining - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR228W","SLX1","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR419W","RAD30","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR099W","TEL2","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR099W","TEL2","sce04142","Lysosome biogenesis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YIL139C","REV7","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YLR135W","SLX4","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOL086W-A","MHF1","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOL087C","DUF1","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YOR346W","REV1","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YPL024W","RMI1","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YPL167C","REV3","sce03460","Fanconi anemia pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL041W","CDC24","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBL016W","FUS3","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBL016W","FUS3","sce04519","Cadherin signaling - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBL016W","FUS3","sce04148","Efferocytosis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBL016W","FUS3","sce04620","Toll-like receptor signaling pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
