"gene_id","gene_symbol","term_id","term_name","domain"
"Dmel_CG7483","CG7483","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7483","CG7483","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7671","Nup43","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7897","Gp210","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7907","CG7907","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7907","CG7907","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7907","CG7907","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7935","msk","dme04013","MAPK signaling pathway - fly - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7935","msk","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8069","Phax","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8219","CG8219","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8274","Mgtor","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8280","eEF1alpha1","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8383","Pnn","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8383","Pnn","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8548","Kap-alpha1","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8722","Nup44A","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8722","Nup44A","dme04150","mTOR signaling pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8771","Nup188","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8781","tsu","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8781","tsu","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8781","tsu","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8831","Nup54","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9159","Kr-h2","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9401","mago","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9401","mago","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9401","mago","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9423","Kap-alpha3","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9615","tex","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9615","tex","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9862","Rae1","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9999","RanGAP","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10110","Cpsf160","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10138","PpD5","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10138","PpD5","dme04519","Cadherin signaling - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10228","Pcf11","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10327","TBPH","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10377","Hrb27C","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG1078","Fip1","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10930","PpY-55A","dme04519","Cadherin signaling - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10930","PpY-55A","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG1109","Wdr33","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG14216","Ssu72","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG17170","su(f)","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG17291","Pp2A-29B","dme04350","TGF-beta signaling pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG17291","Pp2A-29B","dme04382","Cornified envelope formation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG17291","Pp2A-29B","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG17291","Pp2A-29B","dme04391","Hippo signaling pathway - fly - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG17293","Wdr82","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG1810","mRNA-cap","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG1898","HBS1","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG1957","Cpsf100","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG2096","flw","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG2096","flw","dme04519","Cadherin signaling - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG2097","Sym","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG2163","Pabp2","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG2261","CstF50","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG32169","Rbp6","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG3245","PpN58A","dme04519","Cadherin signaling - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG3245","PpN58A","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG32568","CG32568","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG32568","CG32568","dme04382","Cornified envelope formation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG32743","nonC","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG3515","CG3515","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG3606","caz","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG3606","caz","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG3642","Clp","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG3688","Rnmt","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG3689","Cpsf5","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG3959","pelo","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG40448","Pp1-Y2","dme04519","Cadherin signaling - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG40448","Pp1-Y2","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG41534","Pp1-Y1","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG41534","Pp1-Y1","dme04519","Cadherin signaling - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG4733","CG4733","dme04382","Cornified envelope formation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG4733","CG4733","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG5099","msi","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG5119","pAbp","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG5119","pAbp","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG5605","eRF1","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG5643","wdb","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG5643","wdb","dme04382","Cornified envelope formation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG5650","Pp1-87B","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG5650","Pp1-87B","dme04519","Cadherin signaling - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG5970","cbc","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6235","tws","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6235","tws","dme04382","Cornified envelope formation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6235","tws","dme04391","Hippo signaling pathway - fly - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6354","Rb97D","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6369","Smg6","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6382","eRF3","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6593","Pp1alpha-96A","dme04519","Cadherin signaling - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6593","Pp1alpha-96A","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7109","mts","dme04136","Autophagy - other - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7109","mts","dme04140","Autophagy - animal - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7109","mts","dme04350","TGF-beta signaling pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7109","mts","dme04013","MAPK signaling pathway - fly - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7109","mts","dme04382","Cornified envelope formation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7109","mts","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7109","mts","dme04391","Hippo signaling pathway - fly - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7185","Cpsf6","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7185","Cpsf6","dme03250","Viral life cycle - HIV-1 - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7697","CstF64","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7698","Cpsf73","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7804","cocoon","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7913","wrd","dme04382","Cornified envelope formation - Drosophila melanogaster (fruit fly)","kegg_pathway"
